Name;Url;Hash
2.0.1 full build(Hosted by Chloe);https://khromier.com/tf2c/tf2classic-2.0.1.7z;e15067af82530b27bc77a3ef4cec16f70f7b4849aafd5e7a07ccdec8a16121b2
2.0.1 patch(Hosted by Chloe);https://khromier.com/tf2c/tf2classic-2.0.1-patch.7z;e15067af82530b27bc77a3ef4cec16f70f7b4849aafd5e7a07ccdec8a16121b2
2.0.1 full build(Hosted by Gnome);http://files.moevsmachine.tf/tf2classic-2.0.1.7z;unknown
2.0.1 patch(Hosted by Gnome);http://files.moevsmachine.tf/tf2classic-2.0.1-patch.7z;unknown
